States,Average Listing Price,Lat,Long
Alabama,192589,32.7396323,-86.8434593
Alaska,252532,63.346191,-152.8370679
Arizona,309489,34.2099643,-111.602401
Arkansas,175784,34.8955256,-92.4446262
California,629177,37.148573,-119.5406515
Colorado,509225,38.9935752,-105.5077737
Connecticut,439657,41.5797842,-72.7466666
Delaware,273732,38.9935501,-75.4473739
District Of Columbia,720656,38.9041485,-77.0170942
Florida,383921,28.4574302,-82.4091478
Georgia,260506,32.629384,-83.4232125
Hawaii,912129,19.809767,-155.5061027
Idaho,311892,44.3020948,-114.5956254
Illinois,251657,40.1028754,-89.1526108
Indiana,162445,39.9030256,-86.2839503
Iowa,170629,42.0700243,-93.4933473
Kansas,160987,38.4985464,-98.3834298
Kentucky,194865,37.5336807,-85.2929841
Louisiana,226065,30.8577705,-91.803273
Maine,243821,45.3906022,-68.6574869
Maryland,320323,38.9466584,-76.6744939
Massachusetts,547446,42.1565196,-71.4895915
Michigan,180081,44.8410835,-85.6593197
Minnesota,275053,46.3161343,-94.1994801
Mississippi,180851,32.6864655,-89.6561493
Missouri,175880,38.35075,-92.4567826
Montana,334300,47.0511771,-109.6348174
Nebraska,191980,41.5438105,-99.8123253
Nevada,292438,39.3310928,-116.6151469
New Hampshire,280699,43.6708595,-71.5811278
New Jersey,335097,40.1072744,-74.6652012
New Mexico,232967,34.4391265,-106.1261511
New York,591560,42.9133974,-75.5962723
North Carolina,247355,35.53971,-79.1308636
North Dakota,220103,47.4569538,-100.4619304
Ohio,165968,40.4149297,-82.7119975
Oklahoma,191478,35.5894185,-97.4868683
Oregon,372154,43.9715225,-120.6226269
Pennsylvania,202760,40.9042486,-77.8280624
Rhode Island,362944,41.5978358,-71.5252895
South Carolina,272394,33.8741769,-80.8542699
South Dakota,215678,44.4467957,-100.2381762
Tennessee,232933,35.8585639,-86.3493573
Texas,298721,31.4347032,-99.2818238
Utah,452743,39.3349735,-111.6563633
Vermont,298798,44.0605475,-72.673354
Virginia,316646,37.5222512,-78.6681938
Washington,314532,47.4162296,-120.5996231
West Virginia,164996,38.6472854,-80.6183274
Wisconsin,204479,44.628484,-89.7119299
Wyoming,274660,42.9918024,-107.5419255
